"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"knitr","knitr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.29",NA,"R (>= 3.2.3)","evaluate (>= 0.10), highr, markdown, stringr (>= 0.6), yaml
(>= 2.1.19), methods, xfun (>= 0.15), tools",NA,"formatR, testit, digest, rgl (>= 0.95.1201), codetools,
rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice (>= 0.10),
tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1), magick,
png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>= 0.4-1),
showtext, tibble, sass, ragg, styler (>= 1.2.0)",NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"labeling","labeling","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.0.2"
"lars","lars","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"later","later","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.0.1",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp, BH","knitr, rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"lattice","lattice","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.20-41","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"latticeExtra","latticeExtra","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6-29",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer",NA,"maps, mapproj, deldir, tripack, quantreg, zoo, MASS, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"lazyeval","lazyeval","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"leaps","leaps","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.1",NA,"",NA,NA,"biglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"lifecycle","lifecycle","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.0",NA,"R (>= 3.2)","glue, rlang (>= 0.4.0)",NA,"covr, crayon, knitr, rmarkdown, testthat (>= 2.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"lme4","lme4","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-23",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4),
statmod","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR2,
numDeriv, car, dfoptim",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.1"
"lmom","lmom","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.8",NA,"R (>= 3.0.0)","stats, graphics",NA,NA,NA,"Common Public License Version 1.0",NA,NA,NA,NA,"yes","4.0.2"
"lubridate","lubridate","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.7.9",NA,"methods, R (>= 3.2)","generics, Rcpp (>= 0.12.13)","Rcpp","covr, knitr, testthat (>= 2.1.0), vctrs (>= 0.3.0)","chron, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"magrittr","magrittr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5",NA,NA,NA,NA,"testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"mapproj","mapproj","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.7",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","4.0.2"
"maps","maps","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.3.0",NA,"R (>= 3.0.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"maptools","maptools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-2",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat (>= 1.60), PBSmapping, maps,
RColorBrewer, raster, polyclip, spatstat.utils, plotrix","gpclib","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"markdown","markdown","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1",NA,"R (>= 2.11.1)","utils, xfun, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"MASS","MASS","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","7.3-51.6","recommended","R (>= 3.1.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"Matrix","Matrix","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2-18","recommended","R (>= 3.2.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.0.2"
"MatrixModels","MatrixModels","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4-1",NA,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"matrixStats","matrixStats","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.56.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.2"
"mclust","mclust","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","5.4.6",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"memoise","memoise","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.0",NA,NA,"digest (>= 0.6.3)",NA,"testthat, aws.s3, httr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"methods","methods","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.2","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.0.2",NA,NA,NA,NA,"yes","4.0.2"
"mgcv","mgcv","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.8-31","recommended","R (>= 2.14.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"mime","mime","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.0.2"
"minqa","minqa","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"moderndive","moderndive","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.0",NA,"R (>= 3.4.0)","magrittr, dplyr, ggplot2, tibble, janitor, broom (>= 0.4.3),
formula.tools, stringr, knitr, infer, rlang (>= 0.2.0), glue",NA,"testthat, covr, rmarkdown, vdiffr, ggplot2movies, openintro,
patchwork, viridis, readr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"multcomp","multcomp","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4-13",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"munsell","munsell","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"mvtnorm","mvtnorm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-1",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"network","network","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.16.0",NA,"R (>= 2.10), utils","tibble, magrittr",NA,"sna, statnet.common, testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"nlme","nlme","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.1-148","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.0.2"
"nloptr","nloptr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.2.2",NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.0.2"
"nnet","nnet","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","7.3-14","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"nortest","nortest","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-4",NA,NA,"stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"olsrr","olsrr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.3",NA,"R(>= 3.3)","car, data.table, ggplot2, goftest, graphics, gridExtra,
nortest, Rcpp, stats, utils","Rcpp","covr, descriptr, knitr, rmarkdown, testthat, vdiffr, xplorerr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"openintro","openintro","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.0",NA,"R (>= 2.10), airports, cherryblossom, usdata","ggplot2 (>= 2.2.1), graphics, rmarkdown, tibble",NA,"broom, dplyr, forcats, lubridate, tidyr, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"openssl","openssl","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.3",NA,NA,"askpass",NA,"testthat (>= 2.1.0), digest, knitr, rmarkdown, jsonlite,
jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"openxlsx","openxlsx","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.2.2",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, utils, zip, stringi","Rcpp","knitr, testthat, roxygen2, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"operator.tools","operator.tools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.6.3",NA,NA,"utils (>= 3.3.2)",NA,"operators (>= 0.1.8), magrittr (>= 1.5), testthat (>= 1.0.2)",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"parallel","parallel","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.2","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 4.0.2",NA,NA,NA,NA,"yes","4.0.2"
"patchwork","patchwork","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.1",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"pbkrtest","pbkrtest","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4-8.6",NA,"R (>= 3.6.0), lme4 (>= 1.1.10)","Matrix (>= 1.2.3), parallel, magrittr, MASS, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"pcaPP","pcaPP","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.9-73",NA,NA,"mvtnorm",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"pillar","pillar","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.6",NA,NA,"cli, crayon (>= 1.3.4), ellipsis, fansi, lifecycle, rlang (>=
0.3.0), utf8 (>= 1.1.0), vctrs (>= 0.2.0)",NA,"bit64, knitr, lubridate, testthat (>= 2.0.0), withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"pkgbuild","pkgbuild","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.0",NA,"R (>= 3.1)","callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, cpp11, testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"pkgconfig","pkgconfig","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"pkgload","pkgload","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.0",NA,NA,"cli, crayon, desc, methods, pkgbuild, rlang, rprojroot,
rstudioapi, utils, withr",NA,"bitops, covr, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"pls","pls","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.7-3",NA,"R (>= 2.10)","grDevices, graphics, methods, stats",NA,"MASS, parallel, Rmpi, testthat, RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"plyr","plyr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.8.6",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"png","png","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"polyclip","polyclip","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.10-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.0.2"
"praise","praise","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"prettyunits","prettyunits","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"processx","processx","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.4.4",NA,NA,"ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.2.0), codetools, covr, crayon, curl, debugme,
parallel, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"profvis","profvis","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.6",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), stringr",NA,"knitr, ggplot2, rmarkdown, testthat, devtools, shiny,
htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"progress","progress","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"promises","promises","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"ps","ps","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.4",NA,"R (>= 3.1)","utils",NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"purrr","purrr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.4",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"quantreg","quantreg","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","5.67",NA,"R (>= 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels, conquer",NA,"tripack, akima, MASS, survival, rgl, logspline, nor1mix,
Formula, zoo, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"R.cache","R.cache","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.14.0",NA,"R (>= 2.14.0)","utils, R.methodsS3 (>= 1.7.1), R.oo (>= 1.23.0), R.utils (>=
2.8.0), digest (>= 0.6.13)",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"R.methodsS3","R.methodsS3","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.8.1",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"R.oo","R.oo","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.24.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.0)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"R.rsp","R.rsp","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.44.0",NA,"R (>= 2.14.0)","methods, stats, tools, utils, R.methodsS3 (>= 1.7.1), R.oo (>=
1.23.0), R.utils, R.cache, digest (>= 0.6.13)",NA,"tcltk, markdown (>= 0.8), knitr (>= 1.9), R.devices (>=
2.16.1), base64enc (>= 0.1-2)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"R.utils","R.utils","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.10.1",NA,"R (>= 2.14.0), R.oo (>= 1.23.0)","methods, utils, tools, R.methodsS3 (>= 1.8.0)",NA,"digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"R6","R6","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.4.1",NA,"R (>= 3.0)",NA,NA,"knitr, microbenchmark, pryr, testthat, ggplot2, scales",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"rcmdcheck","rcmdcheck","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.3",NA,NA,"callr (>= 3.1.1.9000), cli (>= 1.1.0), crayon, desc (>=
1.2.0), digest, pkgbuild, prettyunits, R6, rprojroot,
sessioninfo (>= 1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"RColorBrewer","RColorBrewer","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-2",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.0.2"
"Rcpp","Rcpp","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.5",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"readr","readr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.1",NA,"R (>= 3.1)","Rcpp (>= 0.12.0.5), tibble, hms (>= 0.4.1), R6, clipr, crayon,
methods","Rcpp, BH","curl, testthat, knitr, rmarkdown, stringi, covr, spelling",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"readxl","readxl","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.1",NA,NA,"cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils","progress, Rcpp","covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"rematch","rematch","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"rematch2","rematch2","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"remotes","remotes","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.2.0",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"reshape","reshape","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.8.8",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"rex","rex","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.0",NA,NA,"lazyeval",NA,"testthat, knitr, rmarkdown, dplyr, ggplot2, magrittr, Hmisc,
stringr, rvest, roxygen2, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"rgeos","rgeos","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5-5",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","utils, stats, graphics","sp","maptools (>= 0.8-5), testthat, XML, maps, rgdal",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"rio","rio","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.16",NA,"R (>= 2.15.0)","tools, stats, utils, foreign, haven (>= 1.1.0), curl (>= 0.6),
data.table (>= 1.9.8), readxl (>= 0.1.1), openxlsx, tibble",NA,"datasets, bit64, testthat, knitr, magrittr, clipr, csvy,
feather, fst, hexView, jsonlite, readODS (>= 1.6.4), readr,
rmatio, xml2 (>= 1.2.0), yaml",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"rJava","rJava","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9-13",NA,"R (>= 2.5.0), methods",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"rlang","rlang","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.7",NA,"R (>= 3.2.0)",NA,NA,"cli, covr, crayon, glue, magrittr, methods, pillar,
rmarkdown, testthat (>= 2.3.0), vctrs (>= 0.2.3), withr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"rmarkdown","rmarkdown","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.3",NA,"R (>= 3.0)","tools, utils, knitr (>= 1.22), yaml (>= 2.1.19), htmltools (>=
0.3.5), evaluate (>= 0.13), base64enc, jsonlite, mime, tinytex
(>= 0.11), xfun, methods, stringr (>= 1.2.0)",NA,"shiny (>= 0.11), tufte, testthat, digest, dygraphs, tibble,
fs, pkgdown, rsconnect",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"robustbase","robustbase","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.93-6",NA,"R (>= 3.1.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"roxygen2","roxygen2","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","7.1.1",NA,"R (>= 3.2)","brew, commonmark, desc (>= 1.2.0), digest, knitr, methods,
pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2), Rcpp (>=
0.11.0), rlang, stringi, stringr (>= 1.0.0), utils, xml2","Rcpp","covr, devtools, rmarkdown, testthat (>= 2.1.0), R.methodsS3,
R.oo",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"rpart","rpart","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.1-15","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"rprojroot","rprojroot","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3-2",NA,"R (>= 3.0.0)","backports",NA,"testthat, mockr, knitr, withr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"rstudioapi","rstudioapi","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.11",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"rversions","rversions","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.2",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"sandwich","sandwich","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.5-1",NA,"R (>= 2.10.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"scagnostics","scagnostics","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2-4.1",NA,"rJava",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"no","4.0.2"
"scales","scales","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), testthat (>=
2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"sessioninfo","sessioninfo","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.1",NA,NA,"cli, tools, utils, withr",NA,"callr, covr, mockery, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
